strategy,hold_days,regime,cap,train_n,train_mean,train_t,test_n,test_mean,test_t,train_significant,test_significant,both_significant,direction_match
AboveEMA200,10,RANGE,SMALL,252911,0.0006240730594465081,3.2263147356383564,473498,0.0011337480114635406,7.76242170562642,True,True,True,True
AboveEMA200,10,RANGE,ALL,838520,0.00203970461244278,16.454407215973692,1395958,0.003538361395076937,30.32864629923909,True,True,True,True
AboveEMA200,10,ALL,LARGE,374556,0.004822647230795734,29.254973549543266,537277,0.007860256888984295,35.95959500037268,True,True,True,True
AboveEMA200,10,ALL,MID,287249,-0.0014579368616040877,-5.164132961996585,440601,0.0025786490715275956,11.97948999764952,True,True,True,False
AboveEMA200,10,ALL,SMALL,285610,0.00011313080808072249,0.6297603937245174,502358,0.0014460654977058196,10.243475568356674,False,True,False,True
AboveEMA200,10,ALL,ALL,947415,0.0014986799245472681,12.439406345949028,1480236,0.004111326282703194,36.48091705510743,True,True,True,True
AboveEMA200,20,BULL,LARGE,35000,0.008245201998904972,6.274834171604552,19152,0.03571639744137884,18.418458365631185,True,True,True,True
AboveEMA200,20,BULL,MID,26848,-0.0029718779770100535,-2.3445640867783117,14498,0.026308059338883392,15.525020964680115,False,True,False,False
AboveEMA200,20,BULL,SMALL,27054,0.002082819594539671,3.056796942336093,17867,0.013804880518742449,17.369442054462997,True,True,True,True
AboveEMA200,20,BULL,ALL,88902,0.0029824041230296773,4.409891595031519,51517,0.02546938851875672,28.045133029917466,True,True,True,True
AboveEMA200,20,BEAR,LARGE,8299,0.04561361596301397,32.626025207540515,12277,-0.012851180767964534,-5.916018956690702,True,True,True,False
AboveEMA200,20,BEAR,MID,6049,0.026604969545845944,9.481147857784714,9475,-0.02199462593194931,-10.560993839160048,True,True,True,False
AboveEMA200,20,BEAR,SMALL,5645,0.01762402713937091,11.66924994539234,10993,-0.01911739258380382,-4.693104121384743,True,True,True,False
AboveEMA200,20,BEAR,ALL,19993,0.03195961050675856,28.62555481323766,32745,-0.017600565694526664,-10.34091203291019,True,True,True,False
AboveEMA200,20,RANGE,LARGE,331257,0.013208628071010673,46.75892070291003,487119,0.015630688596190614,39.389658836168785,True,True,True,True
AboveEMA200,20,RANGE,MID,254352,0.000560704565044449,1.5490160443729657,400137,0.004373181617524263,13.970652930845784,False,True,False,True
AboveEMA200,20,RANGE,SMALL,252911,0.0030330128416018198,11.849342865326623,453656,0.0037801624101506015,15.427179190714906,True,True,True,True
AboveEMA200,20,RANGE,ALL,838520,0.006302949419488295,36.08595049778786,1340912,0.008262116029626376,43.30442964134742,True,True,True,True
AboveEMA200,20,ALL,LARGE,374556,0.013462819919471344,48.0454185558063,518548,0.01569820324405216,40.97225388684159,True,True,True,True
AboveEMA200,20,ALL,MID,287249,0.000778978546084554,2.2457873398413755,424110,0.004533934442671047,14.882043522876627,False,True,False,True
AboveEMA200,20,ALL,SMALL,285610,0.003231394367475869,13.601087486153956,482516,0.0036296986253179114,14.509042314470456,True,True,True,True
AboveEMA200,20,ALL,ALL,0,0.0,0.0,1425174,0.008289897580345892,44.40698816760139,False,True,False,False
BelowEMA200,1,BULL,LARGE,17841,-0.0007486506171814996,-2.7018021053839,23868,0.0033822280328370397,6.643285419205543,False,True,False,False
BelowEMA200,1,BULL,MID,19301,0.0001844464740753566,0.33739335920220465,26201,0.002927477239634267,2.656993628922528,False,False,False,True
BelowEMA200,1,BULL,SMALL,14474,0.002392000677780385,5.546640020459681,21867,0.002660052652498063,9.349393174986119,True,True,True,True
BelowEMA200,1,BULL,ALL,51616,0.00048095829869006923,1.8776230992023113,71936,0.002997069912082782,6.751509856940483,False,True,False,True
BelowEMA200,1,BEAR,LARGE,10355,0.007558210096026129,16.67703464848013,32436,0.00781753024970101,18.855233106415902,True,True,True,True
BelowEMA200,1,BEAR,MID,10250,0.004020272234769975,7.881195386397987,32065,0.004438403972319983,11.115021183184531,True,True,True,True
BelowEMA200,1,BEAR,SMALL,9035,0.005524466761769646,14.300421792073902,29303,0.002891679568932688,8.390393652521864,True,True,True,True
BelowEMA200,1,BEAR,ALL,29640,0.005714798014282442,21.580772443008755,93804,0.005123680450302512,22.728145618743884,True,True,True,True
BelowEMA200,1,RANGE,LARGE,250617,0.001390874716429541,14.789831112975156,385798,0.0004805534967018991,3.9123840850829,True,True,True,True
BelowEMA200,1,RANGE,MID,250359,0.0008678021823546753,5.830672253737838,420774,0.1497858933892086,1.0084285314881496,True,False,False,True
