strategy,lookback,hold,threshold,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
Mom30_H5_T30,30,5,0.7,497,-0.0027904975311317574,-0.0032035760019567066,0.3702213279678068,-4.396625288484524,1.3460467295671754e-05
Mom1_H1_T19,1,1,0.8,500,-0.0006297613821155039,-0.0010341613821155038,0.34,-4.42749463778492,1.1720430266637004e-05
Mom20_H5_T5,20,5,0.95,466,-0.006562874560652849,-0.006968024775245122,0.4184549356223176,-4.475557025797229,9.596083988611331e-06
Mom20_H10_T9,20,10,0.9,499,-0.008804494532206593,-0.009190065674491163,0.3847695390781563,-4.478378249429265,9.33506425793463e-06
Mom2_H1_T30,2,1,0.7,500,-0.0003314632281596781,-0.0007512632281596781,0.368,-4.5139029742553305,7.947779202190433e-06
Mom20_H1_T9,20,1,0.9,494,-0.0014287472111434393,-0.0018473706929248164,0.27125506072874495,-4.590164114902958,5.627291505349291e-06
Mom90_H20_T19,90,20,0.8,485,-0.012810153514482408,-0.013220462792832921,0.3958762886597938,-4.647300703991082,4.3418663921578056e-06
Mom15_H5_T5,15,5,0.95,459,-0.007185025955547769,-0.007591779768183935,0.38562091503267976,-4.668817289461532,3.985344147828112e-06
Mom30_H10_T9,30,10,0.9,490,-0.00951214304080514,-0.009937245081621464,0.39387755102040817,-4.696835682629586,3.4379471973101087e-06
Mom10_H2_T5,10,2,0.95,472,-0.004114049738836566,-0.004537778552395889,0.3855932203389831,-4.817954652140122,1.9589752900865013e-06
Mom30_H5_T19,30,5,0.8,499,-0.003625804850237111,-0.004048049339215066,0.35070140280561124,-4.829444215665134,1.824942982589426e-06
Mom30_H20_T9,30,20,0.9,493,-0.013724526756095397,-0.014158603835202904,0.4645030425963489,-4.898450674992131,1.312808119679755e-06
Mom20_H1_T19,20,1,0.8,497,-0.0007859674386510548,-0.001198643494989083,0.29979879275653926,-4.9868302970573986,8.501288869473292e-07
Mom60_H15_T30,60,15,0.7,498,-0.008643599197200365,-0.009072314056638116,0.39959839357429716,-5.081787082885598,5.301792916584747e-07
Mom90_H2_T30,90,2,0.7,486,-0.0017141512970199383,-0.0021229990336454523,0.29218106995884774,-5.089647057411866,5.140142955506893e-07
Mom15_H2_T5,15,2,0.95,469,-0.003384590867104987,-0.0037978104833096787,0.35181236673773986,-5.128263028742304,4.289450429037575e-07
Mom15_H1_T9,15,1,0.9,498,-0.0010642764602980753,-0.0014895776651173524,0.29116465863453816,-5.131035188303583,4.139450118267412e-07
Mom15_H1_T5,15,1,0.95,469,-0.002022107778569457,-0.0024231738766504803,0.2942430703624733,-5.134013956649208,4.1671507408216507e-07
Mom20_H2_T9,20,2,0.9,498,-0.0026000806421400064,-0.0030151408831038617,0.3313253012048193,-5.226299498732811,2.550252400171618e-07
Mom20_H3_T9,20,3,0.9,489,-0.003338853847910887,-0.0037390583468883925,0.35787321063394684,-5.242692792038239,2.361000885236201e-07
Mom15_H3_T9,15,3,0.9,497,-0.003654877287702515,-0.004049042277642152,0.352112676056338,-5.264987630978316,2.0920423802415006e-07
Mom30_H1_T19,30,1,0.8,500,-0.000800998683485377,-0.0012307986834853772,0.224,-5.31502233460706,1.6109299564185185e-07
Mom60_H2_T30,60,2,0.7,498,-0.0012695958831622518,-0.0016734111442064283,0.28112449799196787,-5.338787871413367,1.425755703690847e-07
Mom60_H1_T30,60,1,0.7,500,-0.0007019056176820606,-0.0011073056176820605,0.23,-5.439336166731701,8.390281508777954e-08
Mom90_H15_T30,90,15,0.7,492,-0.013171745797187063,-0.013577640106130148,0.3719512195121951,-5.479834426664609,6.814970234183043e-08
Mom126_H3_T30,126,3,0.7,483,-0.0024825803632511773,-0.0028968660775368924,0.2919254658385093,-5.498585177839975,6.219408303690298e-08
Mom60_H3_T30,60,3,0.7,500,-0.002341321450555297,-0.002740921450555297,0.296,-5.5605003947182,4.389687121282533e-08
Mom20_H15_T5,20,15,0.95,465,-0.017759012214736816,-0.018164173505059396,0.40860215053763443,-5.563958061590546,4.4641823121254576e-08
