strategy,period,threshold,hold,direction,n_tickers,avg_gross,avg_net,win_rate,t_stat,p_value
RSI25_OV70_H5,25,70,5,overbought,869,-0.005928501103075462,-0.006334945291798131,0.3751438434982739,-5.405687804375549,8.34694444161341e-08
RSI14_OV75_H3,14,75,3,overbought,975,-0.00418793378904448,-0.004598087635198326,0.3128205128205128,-5.4165081318523765,7.658463016495296e-08
RSI25_OV70_H3,25,70,3,overbought,869,-0.004006201086649431,-0.004412645275372101,0.34522439585730724,-5.429682727840815,7.331105801258778e-08
RSI10_OV80_H1,10,80,1,overbought,977,-0.0015929950397661071,-0.0020031281001550534,0.31525076765609006,-5.493923385245326,5.0157232940595245e-08
RSI20_OV70_H3,20,70,3,overbought,954,-0.004360702929838226,-0.00476604884178791,0.3742138364779874,-5.552176369725836,3.6581687324925325e-08
RSI7_OV70_H1,7,70,1,overbought,999,-0.00037781173379414543,-0.000791425347407759,0.32432432432432434,-5.663987767513584,1.933565866989883e-08
RSI20_OV70_H1,20,70,1,overbought,954,-0.0020997995404884438,-0.0025051454524381294,0.3448637316561845,-5.715200873825959,1.4648017790132106e-08
RSI10_OV75_H1,10,75,1,overbought,993,-0.001127635180198107,-0.0015396190674085803,0.297079556898288,-5.851045482032923,6.630347964185989e-09
RSI14_OV75_H5,14,75,5,overbought,975,-0.005857391296861428,-0.006267545143015274,0.3312820512820513,-5.9629077907150325,3.462304626511505e-09
RSI25_OV70_H1,25,70,1,overbought,869,-0.0019550989105526057,-0.0023615430992752757,0.29689298043728424,-6.014014009175726,2.6645660961094987e-09
RSI14_OV75_H1,14,75,1,overbought,975,-0.001869482299634656,-0.002279636145788503,0.30256410256410254,-6.024130331181833,2.407763452312851e-09
RSI25_OV65_H5,25,65,5,overbought,972,-0.005481988958702285,-0.005890322292035619,0.3765432098765432,-6.069037722096242,1.84276349775352e-09
RSI10_OV70_H1,10,70,1,overbought,997,-0.000729647542734622,-0.0011427869609893862,0.3039117352056169,-6.33785260776559,3.5247443488511085e-10
RSI25_OV65_H3,25,65,3,overbought,972,-0.0043539125959763305,-0.004762245929309665,0.32613168724279834,-6.458491996326768,1.6690801422384316e-10
RSI25_OV65_H1,25,65,1,overbought,972,-0.0020945266992181757,-0.0025028600325515088,0.2613168724279835,-6.4843674068223125,1.4163504285924183e-10
RSI14_OV65_H1,14,65,1,overbought,996,-0.0006284245509132355,-0.0010416775629614283,0.3172690763052209,-6.485666421278667,1.389494085480561e-10
RSI20_OV65_H1,20,65,1,overbought,989,-0.0010522481691704185,-0.0014632694027396807,0.32457027300303337,-6.526696685759938,1.0728288315465158e-10
RSI14_OV70_H1,14,70,1,overbought,993,-0.001245012129519962,-0.0016569960167304354,0.297079556898288,-7.078274731207225,2.758453211881099e-12
RSI30_OV65_H1,30,65,1,overbought,943,-0.0017096775739763193,-0.0021183732261502324,0.28950159066808057,-7.247861279471554,8.813538110820992e-13
RSI10_OV20_H20,10,20,20,oversold,930,0.030390921256632973,0.029993181751789052,0.7215053763440861,,
RSI14_OV20_H20,14,20,20,oversold,783,0.031207978657234445,0.030827927506339305,0.6602809706257982,,
RSI14_OV75_H10,14,75,10,overbought,975,-0.007366556412644031,-0.0077761046672641535,0.40512820512820513,,
RSI14_OV75_H15,14,75,15,overbought,975,-0.0072398605953705565,-0.0076494088499906784,0.4194871794871795,,
RSI14_OV75_H20,14,75,20,overbought,975,-0.006311044931747143,-0.006720593186367266,0.4605128205128205,,
RSI20_OV20_H10,20,20,10,oversold,360,0.02855346059777276,0.028201092909750477,0.6111111111111112,,
